trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes,security,mkt,open,high,low,close,net_trdval,net_trdqty,trades,ind_sec,corp_ind,hi_52_wk,lo_52_wk,pd_source_file,pd_mapped,_pd_lookup_key
2026-03-20,LODHA,gainer_loser,gainer_loser,-2.57,       817.95,796.9,,{},LODHA DEVELOPERS LIMITED,N,       822.40,       835.10,       792.30,       796.90,               1813086754.20,2237596,46894,N, ,      1531.00,       792.30,pd20032026.csv,True,LODHA
2026-03-20,WEBELSOLAR,gainer_loser,gainer_loser,19.99,        62.38,74.85,,{},WEBSOL ENERGY SYSTEM LTD,N,        64.01,        74.85,        63.10,        74.85,               4259589121.85,59798203,138658,N, ,      1589.90,        50.40,pd20032026.csv,True,WEBELSOLAR
2026-03-20,FIRSTCRY,"gainer_loser,top_turnover",gainer_loser,19.43,       210.06,250.87,16984830516.04,{},BRAINBEES SOLUTIONS LTD,N,       210.70,       252.07,       210.29,       250.87,              16984830516.04,70444931,410117,N, ,       438.70,       207.05,pd20032026.csv,True,FIRSTCRY
2026-03-20,KIOCL,gainer_loser,gainer_loser,14.39,       307.50,351.75,,{},KIOCL LIMITED,N,       310.95,       369.00,       310.95,       351.75,               4973412961.40,13932008,162546,N, ,       634.55,       209.84,pd20032026.csv,True,KIOCL
2026-03-20,RIIL,gainer_loser,gainer_loser,12.31,       636.65,715.0,,{},RELIANCE INDUSTRIAL INFRA,N,       657.70,       748.50,       646.25,       715.00,               2194297710.55,3050314,89697,N, ,      1047.90,       626.30,pd20032026.csv,True,RIIL
2026-03-20,DEEPINDS,gainer_loser,gainer_loser,12.03,       365.75,409.75,,{},DEEP INDUSTRIES LIMITED,N,       362.95,       435.00,       362.95,       409.75,               4522831655.90,10866019,153645,N, ,       578.00,       330.00,pd20032026.csv,True,DEEPINDS
2026-03-20,UTTAMSUGAR,gainer_loser,gainer_loser,11.52,       206.67,230.47,,{},UTTAM SUGAR MILLS LTD.,N,       209.00,       234.95,       208.00,       230.47,                212296160.39,939798,15804,N, ,       330.45,       181.10,pd20032026.csv,True,UTTAMSUGAR
2026-03-20,BODALCHEM,gainer_loser,gainer_loser,11.24,        49.13,54.65,,{},BODAL CHEMICALS LTD,N,        48.75,        57.88,        48.74,        54.65,                245595941.23,4435224,22741,N, ,        81.49,        42.81,pd20032026.csv,True,BODALCHEM
2026-03-20,CENTRUM,gainer_loser,gainer_loser,10.85,        23.40,25.94,,{},CENTRUM CAPITAL LIMITED,N,        23.70,        26.59,        23.13,        25.94,                 47786634.58,1890280,3264,N, ,        41.90,        19.66,pd20032026.csv,True,CENTRUM
2026-03-20,GUJALKALI,gainer_loser,gainer_loser,10.64,       486.50,538.25,,{},GUJARAT ALKALIES & CHEM,N,       485.95,       583.80,       471.00,       538.25,              11795959279.25,23569653,292352,N, ,       698.40,       409.15,pd20032026.csv,True,GUJALKALI
2026-03-20,HAPPSTMNDS,"gainer_loser,top_turnover",gainer_loser,10.55,       371.65,410.85,12857090930.15,{},HAPPIEST MINDS TECHNO LTD,N,       381.00,       419.00,       379.30,       410.85,              12857090930.15,32020712,381734,N, ,       674.85,       330.20,pd20032026.csv,True,HAPPSTMNDS
2026-03-20,VALIANTLAB,gainer_loser,gainer_loser,10.51,        55.29,61.1,,{},VALIANT LABORATORIES LTD,N,        54.50,        63.70,        54.50,        61.10,                 39080035.14,638512,6346,N, ,       124.40,        49.51,pd20032026.csv,True,VALIANTLAB
2026-03-20,OLECTRA,gainer_loser,gainer_loser,9.65,      1000.80,1097.4,,{},OLECTRA GREENTECH LIMITED,N,      1009.45,      1129.90,      1006.05,      1097.40,               9968859390.35,9112475,278560,N, ,      1714.20,       866.60,pd20032026.csv,True,OLECTRA
2026-03-20,THOMASCOTT,gainer_loser,gainer_loser,9.27,       250.15,273.35,,{},THOMAS SCOTT (INDIA) LTD,N,       254.90,       283.00,       253.70,       273.35,                 23226356.80,85499,4072,N, ,       459.80,       236.90,pd20032026.csv,True,THOMASCOTT
2026-03-20,AWL,gainer_loser,gainer_loser,8.97,       176.28,192.1,,{},AWL AGRI BUSINESS LIMITED,N,       178.74,       195.99,       177.26,       192.10,               4834881087.24,25383780,151640,N, ,       291.20,       171.19,pd20032026.csv,True,AWL
2026-03-20,SOLEX,gainer_loser,gainer_loser,8.87,       927.45,1009.75,,{},SOLEX ENERGY LIMITED,N,       941.35,      1046.00,       931.75,      1009.75,                131494633.75,129876,8295,N, ,      1985.00,       630.90,pd20032026.csv,True,SOLEX
2026-03-20,DBEIL,gainer_loser,gainer_loser,8.8,        67.17,73.08,,{},DEEPAK BUILDERS & ENG I L,N,        67.97,        79.19,        67.97,        73.08,                 46242658.20,624921,9014,N, ,       185.60,        66.56,pd20032026.csv,True,DBEIL
2026-03-20,GUJAPOLLO,gainer_loser,gainer_loser,8.73,       411.10,447.0,,{},GUJ. APOLLO IND. LTD.,N,       417.30,       474.90,       400.50,       447.00,                 93829056.25,213360,7013,N, ,       556.00,       261.05,pd20032026.csv,True,GUJAPOLLO
2026-03-20,TEAMGTY,gainer_loser,gainer_loser,8.64,       247.00,268.35,,{},TEAM INDIA GUARANTY LTD,N,       259.90,       285.00,       248.05,       268.35,                  1273032.30,4671,272,N, ,       332.55,       154.40,pd20032026.csv,True,TEAMGTY
2026-03-20,ELECTHERM,gainer_loser,gainer_loser,8.24,       607.60,657.65,,{},ELECTROTHERM (I) LTD.,N,       614.45,       664.70,       612.55,       657.65,                 70481523.10,108985,5474,N, ,      1280.40,       559.90,pd20032026.csv,True,ELECTHERM
2026-03-20,AETHER,gainer_loser,gainer_loser,8.14,      1068.55,1155.55,,{},AETHER INDUSTRIES LIMITED,N,      1080.00,      1180.00,      1076.45,      1155.55,               1673019185.85,1469947,88852,N, ,      1180.00,       725.00,pd20032026.csv,True,AETHER
2026-03-20,RAYMONDLSL,gainer_loser,gainer_loser,8.08,       804.20,869.2,,{},RAYMOND LIFESTYLE LIMITED,N,       811.75,       889.00,       804.40,       869.20,                482866156.80,561700,31802,N, ,      1411.90,       727.00,pd20032026.csv,True,RAYMONDLSL
2026-03-20,PFOCUS,gainer_loser,gainer_loser,8.0,       256.15,276.65,,{},PRIME FOCUS LIMITED,N,       259.90,       284.40,       259.00,       276.65,               3637191173.65,13266651,55331,N, ,       294.00,        85.00,pd20032026.csv,True,PFOCUS
2026-03-20,HITECHCORP,gainer_loser,gainer_loser,7.96,       130.75,141.16,,{},HITECH CORPORATION LTD,N,       130.90,       147.80,       128.10,       141.16,                  3058334.28,22223,568,N, ,       223.44,       118.11,pd20032026.csv,True,HITECHCORP
2026-03-20,IXIGO,gainer_loser,gainer_loser,7.93,       160.79,173.54,,{},LE TRAVENUES TECHNOLOGY L,N,       161.01,       182.40,       160.77,       173.54,               1769606965.97,10272041,59859,N, ,       339.15,       123.29,pd20032026.csv,True,IXIGO
