trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes
2026-03-20,SUKHJITS,gainer_loser,gainer_loser,3.83,156.58,162.58,,{}
2026-03-20,VALIANTORG,gainer_loser,gainer_loser,3.81,259.42,269.3,,{}
2026-03-20,AARTIIND,gainer_loser,gainer_loser,3.76,411.85,427.35,,{}
2026-03-20,RPOWER,gainer_loser,gainer_loser,3.76,21.8,22.62,,{}
2026-03-20,ASAHISONG,gainer_loser,gainer_loser,3.74,199.46,206.92,,{}
2026-03-20,PENINLAND,gainer_loser,gainer_loser,3.72,15.04,15.6,,{}
2026-03-20,ORCHASP,gainer_loser,gainer_loser,3.72,2.15,2.23,,{}
2026-03-20,WHEELS,gainer_loser,gainer_loser,3.71,990.5,1027.2,,{}
2026-03-20,ASHAPURMIN,gainer_loser,gainer_loser,3.69,484.95,502.85,,{}
2026-03-20,THEINVEST,gainer_loser,gainer_loser,3.66,97.62,101.19,,{}
2026-03-20,RAMASTEEL,gainer_loser,gainer_loser,3.64,5.22,5.41,,{}
2026-03-20,JTLIND,gainer_loser,gainer_loser,3.62,50.29,52.11,,{}
2026-03-20,EVEREADY,gainer_loser,gainer_loser,3.62,290.2,300.7,,{}
2026-03-20,MBAPL,gainer_loser,gainer_loser,3.61,437.25,453.05,,{}
2026-03-20,JAICORPLTD,gainer_loser,gainer_loser,3.6,98.57,102.12,,{}
2026-03-20,INDOSTAR,gainer_loser,gainer_loser,3.59,192.2,199.1,,{}
2026-03-20,LUXIND,gainer_loser,gainer_loser,3.58,908.6,941.1,,{}
2026-03-20,TDPOWERSYS,gainer_loser,gainer_loser,3.57,833.5,863.25,,{}
2026-03-20,UNIDT,gainer_loser,gainer_loser,3.56,152.16,157.58,,{}
2026-03-20,MATRIMONY,gainer_loser,gainer_loser,3.56,408.9,423.45,,{}
2026-03-20,GINNIFILA,gainer_loser,gainer_loser,3.55,36.61,37.91,,{}
2026-03-20,HINDPETRO,gainer_loser,gainer_loser,3.54,324.8,336.3,,{}
2026-03-20,BAJAJHCARE,gainer_loser,gainer_loser,3.54,302.25,312.95,,{}
2026-03-20,WSTCSTPAPR,gainer_loser,gainer_loser,3.53,419.85,434.65,,{}
